journal	issn	url
Burlington magazine	0007-6287	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,0007-6287&tab=jsearch_slot&vid=UCSB&offset=0&journals=any,0007-6287
Canadian architect	0008-2872	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS1553038&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0008-2872&offset=0&journals=any,0008-2872
Canadian interiors	0008-3887	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS60622922&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0008-3887&offset=0&journals=any,0008-3887
Casabella	0008-7181	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21177465690003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0008-7181&offset=0&journals=any,0008-7181
Cities	0264-2751	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,0264-2751&tab=jsearch_slot&vid=UCSB&lang=en_US&offset=0&journals=any,0264-2751
Classicist	1076-2922	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS682391073&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1076-2922&offset=0&journals=any,1076-2922
Conservation science in cultural heritage	1973-9494	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS335442439&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1973-9494&offset=0&journals=any,1973-9494
Crit	0277-6863	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS607366812&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0277-6863&offset=0&journals=any,0277-6863
Cuaderno de notas	1138-1590	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS821533416&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1138-1590&offset=0&journals=any,1138-1590
DC (Spain)	1139-5559	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS163879496&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1139-5559&offset=0&journals=any,1139-5559
Dearq (Colombia)	2215-969X	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS670494432&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,2215-969X&offset=0&journals=any,2215-969X
Design issues	0747-9360	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,0747-9360&tab=jsearch_slot&vid=UCSB&lang=en_US&offset=0&journals=any,0747-9360
The Architect's Journal		https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS680544440&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0003-8466&offset=0&journals=any,0003-8466
DoCoMoMo journal	1380-3204	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS609715398&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,1380-3204&offset=0&journals=any,1380-3204
Domus	0012-5377	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21175950480003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0012-5377&offset=0&journals=any,0012-5377
Dumbarton Oaks papers	0070-7546	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,0070-7546&tab=jsearch_slot&vid=UCSB&lang=en_US&offset=0&journals=any,0070-7546
EdA: Esempi di architettura	2035-7982	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS905958405&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,2035-7982&offset=0&journals=any,2035-7982
Enquiry: journal of architectural research	2329-9339	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_SCP_SERIALS852256523&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,2329-9339&offset=0&journals=any,2329-9339
Environment and planning A	0308-518X	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,0308-518X&tab=jsearch_slot&vid=UCSB&lang=en_US&offset=0&journals=any,0308-518X
Environment and planning B: planning & design	0265-8135	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jsearch?query=any,contains,0265-8135&tab=jsearch_slot&vid=UCSB&lang=en_US&offset=0&journals=any,0265-8135
Environment and planning D: society & space	0263-7758	https://ucsb-primo.hosted.exlibrisgroup.com/primo-explore/jfulldisplay?docid=01UCSB_ALMA21177242670003776&context=L&vid=UCSB&lang=en_US&search_scope=default_scope&adaptor=Local%20Search%20Engine&tab=jsearch_slot&query=any,contains,0263-7758&offset=0&journals=any,0263-7758
